startup_watchdog_initialized stall_threshold_s=5.00
watchdog_log_path=C:\Users\btheobald\Desktop\IT Core\logs\launch_watchdog_20260306_094549.txt
qt_log_path=C:\Users\btheobald\Desktop\IT Core\logs\fixfox_qt.log
startup_phase=logging_ready elapsed_ms=8.1
startup_phase=initialize_db elapsed_ms=11.9
startup_phase=create_qapplication elapsed_ms=23.7
startup_phase=watchdog_started elapsed_ms=44.5
startup_phase=load_icons elapsed_ms=45.4
startup_phase=load_font elapsed_ms=52.2
startup_phase=ensure_desktop_logo elapsed_ms=57.8
startup_phase=load_settings elapsed_ms=59.2
startup_phase=apply_stylesheet elapsed_ms=61.6
startup_phase=build_main_window elapsed_ms=63.0
startup_phase=mainwindow:init_begin elapsed_ms=65.6
startup_phase=mainwindow:build_nav_pages elapsed_ms=700.0
startup_phase=mainwindow:restore_layout elapsed_ms=1857.7
startup_phase=mainwindow:apply_theme_deferred elapsed_ms=1858.8
startup_phase=mainwindow:apply_button_guardrails elapsed_ms=1859.6
startup_phase=mainwindow:set_concierge_initial elapsed_ms=1869.1
startup_phase=mainwindow:responsive_layout_pass elapsed_ms=1872.2
startup_phase=mainwindow:schedule_warmup elapsed_ms=1873.5
startup_phase=mainwindow:init_complete elapsed_ms=1911.3
startup_phase=show_window elapsed_ms=1912.6
startup_first_paint_ms=1968.3 phase=show_window
startup_phase=enter_event_loop elapsed_ms=1985.3
startup_phase=mainwindow:warmup_stage_one elapsed_ms=6702.2
ui_freeze_detector_started heartbeat_ms=100 threshold_ms=500
startup_phase=mainwindow:warmup_stage_two elapsed_ms=6846.5
startup_phase=mainwindow:warmup_stage_three elapsed_ms=6918.4
startup_phase=mainwindow:warmup_complete elapsed_ms=6919.9
startup_phase=event_loop_exit elapsed_ms=7604.8
ui_freeze_detector_stopped freeze_count=0
watchdog_stopped elapsed_ms=7607.7 first_paint_ms=1968.3
